day,location,opponent,result,score,goals_for,goals_against,equipo
30,at,San Bernardino Valley,L,3-1,3,1,Cypress
4,at,Irvine Valley,L,5-1,5,1,Cypress
7,vs,Golden West,W,4-0,4,0,Cypress
11,at,Santa Ana,L,1-0,1,0,Cypress
14,vs,Orange Coast,W,3-1,3,1,Cypress
18,vs,Santiago Canyon,W,3-1,3,1,Cypress
21,vs,Fullerton,T,1-1,1,1,Cypress
28,vs,Irvine Valley,T,1-1,1,1,Cypress
1,at,Golden West,W,2-0,2,0,Cypress
4,vs,Santa Ana,L,2-1,2,1,Cypress
8,at,Orange Coast,W,2-0,2,0,Cypress
10,at,Santiago Canyon,W,6-2,6,2,Cypress
16,vs,Cuyamaca,L,1-0,1,0,Cypress
27,vs,San Diego Mesa,W,3-1,3,1,Cypress
31,at,Citrus,W,5-0,5,0,Cypress
3,vs,Long Beach,L,1-0,1,0,Cypress
10,at,Southwestern,W,1-0,1,0,Cypress
14,vs,San Bernardino Valley,T,3-3,3,3,Cypress
17,at,East Los Angeles,W,5-2,5,2,Cypress
21,vs,Canyons,T,2-2,2,2,Cypress
24,vs,Moorpark,L,2-0,2,0,Cypress
28,at,Irvine Valley,W,2-0,2,0,Cypress
1,vs,Golden West,L,4-2,4,2,Cypress
8,vs,Orange Coast,W,2-0,2,0,Cypress
12,at,Santa Ana,L,1-0,1,0,Cypress
15,vs,Santiago Canyon,L,1-0,1,0,Cypress
19,at,Fullerton,T,0-0,0,0,Cypress
22,vs,Irvine Valley,L,2-1,2,1,Cypress
26,at,Golden West,W,2-1,2,1,Cypress
2,at,Orange Coast,W,4-1,4,1,Cypress
5,vs,Santa Ana,T,2-2,2,2,Cypress
9,at,Santiago Canyon,T,1-1,1,1,Cypress
12,vs,Fullerton,W,1-0,1,0,Cypress
20,at,Mt. San Antonio,L,3-1,3,1,Cypress
26,vs,El Camino,L,2-1,2,1,Irvine Valley
29,at,Hartnell,L,2-1,2,1,Irvine Valley
30,vs,Cerritos,L,3-1,3,1,Irvine Valley
9,at,Southwestern,W,2-1,2,1,Irvine Valley
12,vs,San Diego Mesa,W,6-0,6,0,Irvine Valley
19,at,Rio Hondo,W,3-1,3,1,Irvine Valley
23,vs,Cuyamaca,L,3-2,3,2,Irvine Valley
30,vs,Orange Coast,W,4-1,4,1,Irvine Valley
3,at,Saddleback,W,5-3,5,3,Irvine Valley
7,vs,Santa Ana,W,4-1,4,1,Irvine Valley
10,at,Cypress,W,2-0,2,0,Irvine Valley
14,vs,Santiago Canyon,W,6-0,6,0,Irvine Valley
17,at,Fullerton,W,4-2,4,2,Irvine Valley
21,vs,Golden West,L,3-2,3,2,Irvine Valley
24,at,Orange Coast,W,2-0,2,0,Irvine Valley
28,vs,Saddleback,W,3-2,3,2,Irvine Valley
31,at,Santa Ana,L,2-1,2,1,Irvine Valley
4,vs,Cypress,L,2-1,2,1,Irvine Valley
7,at,Santiago Canyon,W,2-0,2,0,Irvine Valley
12,vs,Fullerton,T,0-0,0,0,Irvine Valley
14,vs,Golden West,W,3-2,3,2,Irvine Valley
19,at,Long Beach,L,2-1,2,1,Irvine Valley
27,at,El Camino,L,6-4,6,4,Irvine Valley
30,vs,Fresno City,L,2-1,2,1,Irvine Valley
31,vs,Cerritos,L,2-1,2,1,Irvine Valley
6,vs,Southwestern,W,2-1,2,1,Irvine Valley
10,vs,Rio Hondo,W,3-2,3,2,Irvine Valley
13,at,San Diego Mesa,L,1-0,1,0,Irvine Valley
17,at,Cuyamaca,L,5-2,5,2,Irvine Valley
1,vs,Saddleback,L,2-1,2,1,Irvine Valley
4,at,Santa Ana,T,2-2,2,2,Irvine Valley
8,vs,Cypress,L,2-1,2,1,Irvine Valley
11,at,Fullerton,L,2-1,2,1,Irvine Valley
15,at,Santiago Canyon,W,3-1,3,1,Irvine Valley
18,vs,Orange Coast,W,2-1,2,1,Irvine Valley
22,vs,Golden West,W,1-0,1,0,Irvine Valley
25,at,Saddleback,L,2-1,2,1,Irvine Valley
29,vs,Santa Ana,L,3-0,3,0,Irvine Valley
1,at,Cypress,W,1-0,1,0,Irvine Valley
5,vs,Fullerton,L,3-2,3,2,Irvine Valley
8,vs,Santiago Canyon,W,3-1,3,1,Irvine Valley
12,at,Orange Coast,W,3-1,3,1,Irvine Valley
15,at,Golden West,L,1-0,1,0,Irvine Valley
29,vs,El Camino,L,3-0,3,0,Irvine Valley
1,at,Hartnell,W,3-0,3,0,Irvine Valley
2,vs,Fresno City,L,4-2,4,2,Irvine Valley
8,at,Southwestern,W,3-1,3,1,Irvine Valley
12,at,Rio Hondo,W,2-1,2,1,Irvine Valley
15,vs,San Diego Mesa,W,3-1,3,1,Irvine Valley
19,vs,Cuyamaca,W,2-1,2,1,Irvine Valley
26,vs,Golden West,T,1-1,1,1,Irvine Valley
29,at,Fullerton,T,3-3,3,3,Irvine Valley
3,at,Orange Coast,W,4-3,4,3,Irvine Valley
6,vs,Santiago Canyon,T,1-1,1,1,Irvine Valley
10,at,Santa Ana,T,2-2,2,2,Irvine Valley
13,vs,Saddleback,W,4-1,4,1,Irvine Valley
17,vs,Cypress,W,3-0,3,0,Irvine Valley
20,at,Golden West,W,3-1,3,1,Irvine Valley
24,vs,Fullerton,L,3-2,3,2,Irvine Valley
27,vs,Orange Coast,W,3-2,3,2,Irvine Valley
31,at,Santiago Canyon,W,3-2,3,2,Irvine Valley
3,vs,Santa Ana,T,1-1,1,1,Irvine Valley
7,at,Saddleback,T,1-1,1,1,Irvine Valley
9,at,Cypress,W,2-0,2,0,Irvine Valley
18,at,Mt. San Antonio,L,1-0,1,0,Irvine Valley
30,at,El Camino,L,3-0,3,0,Irvine Valley
2,vs,Fresno City,L,3-1,3,1,Irvine Valley
3,at,Hartnell,L,2-1,2,1,Irvine Valley
6,vs,Rio Hondo,W,2-0,2,0,Irvine Valley
9,vs,Southwestern,W,7-2,7,2,Irvine Valley
13,at,LA Harbor,W,3-0,3,0,Irvine Valley
16,at,San Diego Mesa,W,1-0,1,0,Irvine Valley
20,vs,Imperial Valley,W,6-1,6,1,Irvine Valley
23,vs,Taft,T,2-2,2,2,Irvine Valley
27,vs,Santa Ana,W,1-0,1,0,Irvine Valley
30,at,Orange Coast,L,2-1,2,1,Irvine Valley
4,vs,Cypress,W,5-1,5,1,Irvine Valley
7,at,Santiago Canyon,W,1-0,1,0,Irvine Valley
14,at,Fullerton,T,0-0,0,0,Irvine Valley
17,vs,Golden West,L,2-1,2,1,Irvine Valley
21,at,Santa Ana,T,0-0,0,0,Irvine Valley
25,vs,Orange Coast,W,5-1,5,1,Irvine Valley
28,at,Cypress,T,1-1,1,1,Irvine Valley
1,vs,Santiago Canyon,W,6-1,6,1,Irvine Valley
4,at,Golden West,T,1-1,1,1,Irvine Valley
8,vs,Fullerton,L,2-0,2,0,Irvine Valley
16,vs,Antelope Valley,W,3-1,3,1,Irvine Valley
19,at,El Camino,L,3-0,3,0,Irvine Valley
1,at,Santiago Canyon,W,2-0,2,0,Irvine Valley
5,vs,Golden West,L,3-1,3,1,Irvine Valley
8,at,Fullerton,W,1-0,1,0,Irvine Valley
12,at,Orange Coast,W,3-1,3,1,Irvine Valley
15,vs,Santa Ana,L,3-1,3,1,Irvine Valley
22,at,Cypress,W,2-1,2,1,Irvine Valley
26,vs,Santiago Canyon,T,2-2,2,2,Irvine Valley
29,at,Golden West,T,2-2,2,2,Irvine Valley
2,vs,Fullerton,L,5-0,5,0,Irvine Valley
5,vs,Orange Coast,T,1-1,1,1,Irvine Valley
9,at,Santa Ana,W,1-0,1,0,Irvine Valley
20,at,Santa Ana,L,3-1,3,1,Irvine Valley
