equipo,temporada,day,local_code,oponente,resultado_code,score,goals_for,goals_against,mes,mes_num,team_academic_rank,home_advantage,opponent_quality,local_visitante
Santa Ana,2024-2025,25,vs,Santiago Canyon,W,6-0,6,0,October,10,71,1,0.5,Local
Santa Ana,2024-2025,29,at,Irvine Valley,W,3-0,3,0,October,10,71,0,0.5,Visitante
Santa Ana,2024-2025,1,vs,Orange Coast,W,4-3,4,3,November,11,71,1,0.5,Local
Santa Ana,2024-2025,5,at,Golden West,W,3-2,3,2,November,11,71,0,0.5,Visitante
Santa Ana,2024-2025,8,at,Fullerton,T,0-0,0,0,November,11,71,0,0.5,Visitante
Santa Ana,2024-2025,12,vs,Saddleback,L,3-0,3,0,November,11,71,1,0.5,Local
Santa Ana,2024-2025,15,vs,Cypress,W,4-1,4,1,November,11,71,1,0.5,Local
Santa Ana,2024-2025,20,at,Cypress,T,2-2,2,2,November,11,71,0,0.5,Visitante
Santa Ana,2023-2024,29,at,Cuyamaca,L,3-2,3,2,August,8,71,0,0.5,Visitante
Santa Ana,2023-2024,1,vs,Chaffey,W,4-0,4,0,September,9,71,1,0.5,Local
Santa Ana,2023-2024,5,vs,LA Mission,L,4-3,4,3,September,9,71,1,0.5,Local
Santa Ana,2023-2024,8,vs,Palomar,T,3-3,3,3,September,9,71,1,0.5,Local
Santa Ana,2023-2024,12,vs,Long Beach,W,2-0,2,0,September,9,71,1,0.5,Local
Santa Ana,2023-2024,15,at,San Bernardino Valley,W,4-3,4,3,September,9,71,0,0.5,Visitante
Santa Ana,2023-2024,22,at,Desert,W,2-0,2,0,September,9,71,0,0.5,Visitante
Santa Ana,2023-2024,26,at,Santiago Canyon,T,0-0,0,0,September,9,71,0,0.5,Visitante
Santa Ana,2023-2024,29,vs,Saddleback,W,2-0,2,0,September,9,71,1,0.5,Local
Santa Ana,2023-2024,3,vs,Fullerton,L,2-1,2,1,October,10,71,1,0.5,Local
Santa Ana,2023-2024,6,at,Cypress,W,2-1,2,1,October,10,71,0,0.5,Visitante
Santa Ana,2023-2024,10,vs,Irvine Valley,T,2-2,2,2,October,10,71,1,0.5,Local
Santa Ana,2023-2024,13,at,Golden West,L,3-2,3,2,October,10,71,0,0.5,Visitante
Santa Ana,2023-2024,17,at,Orange Coast,L,3-2,3,2,October,10,71,0,0.5,Visitante
Santa Ana,2023-2024,20,vs,Santiago Canyon,W,4-1,4,1,October,10,71,1,0.5,Local
Santa Ana,2023-2024,24,at,Saddleback,T,1-1,1,1,October,10,71,0,0.5,Visitante
Santa Ana,2023-2024,27,at,Fullerton,L,3-0,3,0,October,10,71,0,0.5,Visitante
Santa Ana,2023-2024,31,vs,Cypress,T,1-1,1,1,October,10,71,1,0.5,Local
Santa Ana,2023-2024,3,at,Irvine Valley,T,1-1,1,1,November,11,71,0,0.5,Visitante
Santa Ana,2023-2024,7,vs,Golden West,W,2-0,2,0,November,11,71,1,0.5,Local
Santa Ana,2023-2024,9,vs,Orange Coast,W,4-1,4,1,November,11,71,1,0.5,Local
Santa Ana,2023-2024,18,at,Norco,L,2-0,2,0,November,11,71,0,0.5,Visitante
Santa Ana,2022-2023,26,vs,East Los Angeles,W,2-0,2,0,August,8,71,1,0.5,Local
Santa Ana,2022-2023,30,vs,Cuyamaca,T,2-2,2,2,August,8,71,1,0.5,Local
Santa Ana,2022-2023,2,vs,Oxnard,L,1-0,1,0,September,9,71,1,0.5,Local
Santa Ana,2022-2023,4,at,Mt. San Antonio,L,2-1,2,1,September,9,71,0,0.5,Visitante
Santa Ana,2022-2023,6,at,LA Mission,W,4-1,4,1,September,9,71,0,0.5,Visitante
Santa Ana,2022-2023,9,at,Palomar,T,2-2,2,2,September,9,71,0,0.5,Visitante
Santa Ana,2022-2023,13,vs,San Bernardino Valley,W,3-2,3,2,September,9,71,1,0.5,Local
Santa Ana,2022-2023,16,vs,LA Harbor,W,5-1,5,1,September,9,71,1,0.5,Local
Santa Ana,2022-2023,20,vs,Desert,T,1-1,1,1,September,9,71,1,0.5,Local
Santa Ana,2022-2023,27,at,Irvine Valley,L,1-0,1,0,September,9,71,0,0.5,Visitante
Santa Ana,2022-2023,30,vs,Golden West,T,2-2,2,2,September,9,71,1,0.5,Local
Santa Ana,2022-2023,7,vs,Orange Coast,W,4-0,4,0,October,10,71,1,0.5,Local
Santa Ana,2022-2023,11,vs,Cypress,W,1-0,1,0,October,10,71,1,0.5,Local
